cycle,pc,target,jump_double_b_predictor,jump_streak,is_taken
82736,2147494668,2147494628,1,0,1
82737,2147494668,2147494628,2,1,1
82747,2147494656,2147494660,1,0,0
82748,2147494660,2147494664,0,-1,0
82750,2147494668,2147494628,1,0,1
82751,2147494668,2147494628,2,1,1
82761,2147494656,2147494660,1,0,0
82762,2147494660,2147494664,0,-1,0
82764,2147494668,2147494628,1,0,1
82765,2147494668,2147494628,2,1,1
82775,2147494656,2147494660,1,0,0
82776,2147494660,2147494664,0,-1,0
82778,2147494668,2147494628,1,0,1
82779,2147494668,2147494628,2,1,1
82789,2147494656,2147494660,1,0,0
82790,2147494660,2147494664,0,-1,0
82792,2147494668,2147494628,1,0,1
82793,2147494668,2147494628,2,1,1
82803,2147494656,2147494660,1,0,0
82804,2147494660,2147494664,0,-1,0
82806,2147494668,2147494628,1,0,1
82807,2147494668,2147494628,2,1,1
82817,2147494656,2147494660,1,0,0
82818,2147494660,2147494664,0,-1,0
82820,2147494668,2147494628,1,0,1
82821,2147494668,2147494628,2,1,1
82831,2147494656,2147494660,1,0,0
82832,2147494660,2147494664,0,-1,0
82834,2147494668,2147494628,1,0,1
82835,2147494668,2147494628,2,1,1
82845,2147494656,2147494660,1,0,0
82846,2147494660,2147494664,0,-1,0
82848,2147494668,2147494628,1,0,1
82849,2147494668,2147494628,2,1,1
82859,2147494656,2147494660,1,0,0
82860,2147494660,2147494664,0,-1,0
82862,2147494668,2147494628,1,0,1
82863,2147494668,2147494628,2,1,1
82873,2147494656,2147494660,1,0,0
82874,2147494660,2147494664,0,-1,0
82876,2147494668,2147494628,1,0,1
82877,2147494668,2147494628,2,1,1
82887,2147494656,2147494660,1,0,0
82888,2147494660,2147494664,0,-1,0
82890,2147494668,2147494628,1,0,1
82891,2147494668,2147494628,2,1,1
82901,2147494656,2147494660,1,0,0
82902,2147494660,2147494664,0,-1,0
82904,2147494668,2147494628,1,0,1
82905,2147494668,2147494628,2,1,1
82915,2147494656,2147494660,1,0,0
82916,2147494660,2147494664,0,-1,0
82918,2147494668,2147494628,1,0,1
82919,2147494668,2147494628,2,1,1
82929,2147494656,2147494660,1,0,0
82930,2147494660,2147494664,0,-1,0
82932,2147494668,2147494628,1,0,1
82933,2147494668,2147494628,2,1,1
82943,2147494656,2147494660,1,0,0
82944,2147494660,2147494664,0,-1,0
82946,2147494668,2147494628,1,0,1
82947,2147494668,2147494628,2,1,1
82957,2147494656,2147494660,1,0,0
82958,2147494660,2147494664,0,-1,0
82960,2147494668,2147494628,1,0,1
82961,2147494668,2147494628,2,1,1
82971,2147494656,2147494660,1,0,0
82972,2147494660,2147494664,0,-1,0
82974,2147494668,2147494628,1,0,1
82975,2147494668,2147494628,2,1,1
82985,2147494656,2147494660,1,0,0
82986,2147494660,2147494664,0,-1,0
82988,2147494668,2147494628,1,0,1
82989,2147494668,2147494628,2,1,1
82999,2147494656,2147494660,1,0,0
83000,2147494660,2147494664,0,-1,0
83002,2147494668,2147494628,1,0,1
83003,2147494668,2147494628,2,1,1
83013,2147494656,2147494660,1,0,0
83014,2147494660,2147494664,0,-1,0
83016,2147494668,2147494628,1,0,1
83017,2147494668,2147494628,2,1,1
83027,2147494656,2147494660,1,0,0
83028,2147494660,2147494664,0,-1,0
83030,2147494668,2147494628,1,0,1
83031,2147494668,2147494628,2,1,1
83041,2147494656,2147494660,1,0,0
83042,2147494660,2147494664,0,-1,0
83044,2147494668,2147494628,1,0,1
83045,2147494668,2147494628,2,1,1
83055,2147494656,2147494660,1,0,0
83056,2147494660,2147494664,0,-1,0
83058,2147494668,2147494628,1,0,1
83059,2147494668,2147494628,2,1,1
83069,2147494656,2147494660,1,0,0
83070,2147494660,2147494664,0,-1,0
83072,2147494668,2147494628,1,0,1
83073,2147494668,2147494628,2,1,1
83083,2147494656,2147494660,1,0,0
83084,2147494660,2147494664,0,-1,0
83086,2147494668,2147494628,1,0,1
83087,2147494668,2147494628,2,1,1
83097,2147494656,2147494660,1,0,0
83098,2147494660,2147494664,0,-1,0
83100,2147494668,2147494628,1,0,1
83101,2147494668,2147494628,2,1,1
83111,2147494656,2147494660,1,0,0
83112,2147494660,2147494664,0,-1,0
83114,2147494668,2147494628,1,0,1
83115,2147494668,2147494628,2,1,1
83125,2147494656,2147494660,1,0,0
83126,2147494660,2147494664,0,-1,0
83128,2147494668,2147494628,1,0,1
83129,2147494668,2147494628,2,1,1
83139,2147494656,2147494660,1,0,0
83140,2147494660,2147494664,0,-1,0
83142,2147494668,2147494628,1,0,1
83143,2147494668,2147494628,2,1,1
83153,2147494656,2147494660,1,0,0
83154,2147494660,2147494664,0,-1,0
83156,2147494668,2147494628,1,0,1
83157,2147494668,2147494628,2,1,1
83167,2147494656,2147494660,1,0,0
83168,2147494660,2147494664,0,-1,0
83170,2147494668,2147494628,1,0,1
83171,2147494668,2147494628,2,1,1
83181,2147494656,2147494660,1,0,0
83182,2147494660,2147494664,0,-1,0
83184,2147494668,2147494628,1,0,1
83185,2147494668,2147494628,2,1,1
83195,2147494656,2147494660,1,0,0
83196,2147494660,2147494664,0,-1,0
83198,2147494668,2147494628,1,0,1
83199,2147494668,2147494628,2,1,1
83209,2147494656,2147494660,1,0,0
83210,2147494660,2147494664,0,-1,0
83212,2147494668,2147494628,1,0,1
83213,2147494668,2147494628,2,1,1
83223,2147494656,2147494660,1,0,0
83224,2147494660,2147494664,0,-1,0
83226,2147494668,2147494628,1,0,1
83227,2147494668,2147494628,2,1,1
83237,2147494656,2147494660,1,0,0
83238,2147494660,2147494664,0,-1,0
83240,2147494668,2147494628,1,0,1
83241,2147494668,2147494628,2,1,1
83251,2147494656,2147494660,1,0,0
